State,Sector,Gender,Indicator,Migration Reason,Value
Dadra & Nagar Haveli & Daman & Diu,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,To take up employment / better employment,-
Dadra & Nagar Haveli & Daman & Diu,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Transfer of service/ contract,0.5
Dadra & Nagar Haveli & Daman & Diu,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Transfer of service/ contract,-
Dadra & Nagar Haveli & Daman & Diu,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Transfer of service/ contract,2.4
Dadra & Nagar Haveli & Daman & Diu,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Transfer of service/ contract,0.6
Dadra & Nagar Haveli & Daman & Diu,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,*,17.6
Dadra & Nagar Haveli & Daman & Diu,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,*,43.5
Dadra & Nagar Haveli & Daman & Diu,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,*,64.5
Dadra & Nagar Haveli & Daman & Diu,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,*,61.3
Delhi,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Acquisition of own house/ flat,3.1
Delhi,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Acquisition of own house/ flat,1
Delhi,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Acquisition of own house/ flat,8.1
Delhi,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Acquisition of own house/ flat,3
Delhi,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Business,0.7
Delhi,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Business,-
Delhi,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Business,0.7
Delhi,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Business,-
Delhi,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Displacement by development project,22
Delhi,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Displacement by development project,7.1
Delhi,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Displacement by development project,-
Delhi,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Displacement by development project,-
Delhi,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Health care,-
Delhi,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Health care,-
Delhi,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Health care,-
Delhi,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Health care,0.3
Delhi,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Housing problems/  insufficient land holding,2.3
Delhi,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Housing problems/  insufficient land holding,2.6
Delhi,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Housing problems/  insufficient land holding,4.5
Delhi,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Housing problems/  insufficient land holding,2.6
Delhi,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,In search of better employment,17.6
Delhi,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,In search of better employment,0.9
Delhi,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,In search of better employment,27
Delhi,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,In search of better employment,0.5
Delhi,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,In search of employment,18.8
Delhi,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,In search of employment,0.3
Delhi,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,In search of employment,24.7
Delhi,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,In search of employment,1.1
Delhi,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Marriage,-
Delhi,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Marriage,53.7
Delhi,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Marriage,0.5
Delhi,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Marriage,57.9
Delhi,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Migration of parent/earning member of the family,20.6
Delhi,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Migration of parent/earning member of the family,25.8
Delhi,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Migration of parent/earning member of the family,19.2
Delhi,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Migration of parent/earning member of the family,31.1
Delhi,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,"Natural disaster (drought,flood, tsunami, etc.)",-
Delhi,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,"Natural disaster (drought,flood, tsunami, etc.)",-
Delhi,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,"Natural disaster (drought,flood, tsunami, etc.)",-
Delhi,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,"Natural disaster (drought,flood, tsunami, etc.)",0.1
Delhi,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Others,5.2
Delhi,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Others,6.1
Delhi,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Others,3.9
Delhi,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Others,2.1
Delhi,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Post retirement,0.6
Delhi,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Post retirement,-
Delhi,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Post retirement,0
Delhi,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Post retirement,0
Delhi,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Proximity to place of work,0.6
Delhi,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Proximity to place of work,-
Delhi,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Proximity to place of work,2.7
Delhi,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Proximity to place of work,0.2
Delhi,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Scarcity of water,-
Delhi,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Scarcity of water,-
Delhi,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Scarcity of water,-
Delhi,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Scarcity of water,-
Delhi,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,"Social/political problems (riots, terrorism, political refugee, bad law and order, etc.)",5.8
Delhi,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,"Social/political problems (riots, terrorism, political refugee, bad law and order, etc.)",1.7
Delhi,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,"Social/political problems (riots, terrorism, political refugee, bad law and order, etc.)",0.2
Delhi,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,"Social/political problems (riots, terrorism, political refugee, bad law and order, etc.)",0.1
Delhi,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Studies,-
Delhi,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Studies,0.9
Delhi,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Studies,3
Delhi,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Studies,0.4
Delhi,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,To take up employment / better employment,-
Delhi,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,To take up employment / better employment,-
Delhi,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,To take up employment / better employment,4.4
Delhi,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,To take up employment / better employment,0.6
Delhi,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Transfer of service/ contract,2.6
Delhi,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Transfer of service/ contract,-
Delhi,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Transfer of service/ contract,0.9
Delhi,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Transfer of service/ contract,0
Delhi,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,*,26.7
Delhi,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,*,39.3
Delhi,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,*,27.6
Delhi,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,*,38.1
Goa,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Acquisition of own house/ flat,0.2
Goa,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Acquisition of own house/ flat,-
Goa,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Acquisition of own house/ flat,1.6
Goa,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Acquisition of own house/ flat,-
Goa,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Business,-
Goa,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Business,-
Goa,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Business,2.8
Goa,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Business,-
Goa,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Displacement by development project,-
Goa,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Displacement by development project,-
Goa,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Displacement by development project,-
Goa,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Displacement by development project,-
Goa,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Health care,-
Goa,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Health care,-
Goa,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Health care,-
Goa,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Health care,-
Goa,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Housing problems/  insufficient land holding,0.2
Goa,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Housing problems/  insufficient land holding,-
Goa,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Housing problems/  insufficient land holding,3.8
Goa,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Housing problems/  insufficient land holding,-
Goa,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,In search of better employment,1
Goa,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,In search of better employment,-
Goa,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,In search of better employment,10.8
Goa,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,In search of better employment,-
Goa,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,In search of employment,45.8
Goa,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,In search of employment,-
Goa,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,In search of employment,56.9
Goa,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,In search of employment,-
Goa,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Marriage,2.6
Goa,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Marriage,94.5
Goa,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Marriage,-
Goa,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Marriage,83.2
Goa,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Migration of parent/earning member of the family,16.8
Goa,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Migration of parent/earning member of the family,2.3
Goa,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Migration of parent/earning member of the family,12
Goa,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Migration of parent/earning member of the family,15.3
Goa,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,"Natural disaster (drought,flood, tsunami, etc.)",-
Goa,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,"Natural disaster (drought,flood, tsunami, etc.)",-
Goa,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,"Natural disaster (drought,flood, tsunami, etc.)",-
Goa,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,"Natural disaster (drought,flood, tsunami, etc.)",-
Goa,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Others,2.4
Goa,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Others,0.1
Goa,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Others,2.3
Goa,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Others,0.8
Goa,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Post retirement,0.4
Goa,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Post retirement,-
Goa,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Post retirement,1
Goa,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Post retirement,-
Goa,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Proximity to place of work,-
Goa,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Proximity to place of work,-
Goa,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Proximity to place of work,-
Goa,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Proximity to place of work,-
Goa,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Scarcity of water,-
Goa,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Scarcity of water,-
Goa,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Scarcity of water,-
Goa,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Scarcity of water,-
Goa,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,"Social/political problems (riots, terrorism, political refugee, bad law and order, etc.)",-
Goa,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,"Social/political problems (riots, terrorism, political refugee, bad law and order, etc.)",-
Goa,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,"Social/political problems (riots, terrorism, political refugee, bad law and order, etc.)",-
Goa,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,"Social/political problems (riots, terrorism, political refugee, bad law and order, etc.)",-
Goa,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Studies,20.5
Goa,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Studies,0
Goa,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Studies,1.3
Goa,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Studies,0.6
Goa,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,To take up employment / better employment,10.1
Goa,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,To take up employment / better employment,3.1
Goa,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,To take up employment / better employment,5.9
Goa,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,To take up employment / better employment,0.1
Goa,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Transfer of service/ contract,-
Goa,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Transfer of service/ contract,-
Goa,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Transfer of service/ contract,1.6
Goa,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Transfer of service/ contract,-
Goa,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,*,3.1
Goa,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,*,35.1
Goa,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,*,19.6
Goa,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,*,33.4
Gujarat,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Acquisition of own house/ flat,1.3
Gujarat,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Acquisition of own house/ flat,0
Gujarat,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Acquisition of own house/ flat,2.4
Gujarat,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Acquisition of own house/ flat,0.2
Gujarat,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Business,1.5
Gujarat,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Business,-
Gujarat,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Business,2.3
Gujarat,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Business,0.1
Gujarat,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Displacement by development project,0
Gujarat,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Displacement by development project,-
Gujarat,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Displacement by development project,-
Gujarat,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Displacement by development project,-
Gujarat,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Health care,1.2
Gujarat,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Health care,0.1
Gujarat,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Health care,0.1
Gujarat,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Health care,0.1
Gujarat,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Housing problems/  insufficient land holding,0.1
Gujarat,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Housing problems/  insufficient land holding,0
Gujarat,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Housing problems/  insufficient land holding,1
Gujarat,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Housing problems/  insufficient land holding,0.1
Gujarat,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,In search of better employment,24.9
Gujarat,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,In search of better employment,0
Gujarat,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,In search of better employment,27.5
Gujarat,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,In search of better employment,0.6
Gujarat,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,In search of employment,9.5
Gujarat,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,In search of employment,0
Gujarat,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,In search of employment,25.1
Gujarat,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,In search of employment,0.7
Gujarat,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Marriage,17.1
Gujarat,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Marriage,94.9
Gujarat,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Marriage,1.5
Gujarat,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Marriage,67
Gujarat,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Migration of parent/earning member of the family,15.2
Gujarat,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Migration of parent/earning member of the family,3.7
Gujarat,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Migration of parent/earning member of the family,23.9
Gujarat,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Migration of parent/earning member of the family,28.8
Gujarat,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,"Natural disaster (drought,flood, tsunami, etc.)",-
Gujarat,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,"Natural disaster (drought,flood, tsunami, etc.)",0
Gujarat,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,"Natural disaster (drought,flood, tsunami, etc.)",0.1
Gujarat,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,"Natural disaster (drought,flood, tsunami, etc.)",0.1
Gujarat,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Others,13.9
Gujarat,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Others,0.8
Gujarat,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Others,1.8
Gujarat,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Others,1.2
Gujarat,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Post retirement,1
Gujarat,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Post retirement,0
Gujarat,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Post retirement,0.7
Gujarat,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Post retirement,0
Gujarat,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Proximity to place of work,1.4
Gujarat,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Proximity to place of work,0
Gujarat,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Proximity to place of work,0.7
Gujarat,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Proximity to place of work,0
Gujarat,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Scarcity of water,-
Gujarat,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Scarcity of water,-
Gujarat,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Scarcity of water,-
Gujarat,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Scarcity of water,0
Gujarat,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,"Social/political problems (riots, terrorism, political refugee, bad law and order, etc.)",1.2
Gujarat,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,"Social/political problems (riots, terrorism, political refugee, bad law and order, etc.)",0.1
Gujarat,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,"Social/political problems (riots, terrorism, political refugee, bad law and order, etc.)",0.2
Gujarat,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,"Social/political problems (riots, terrorism, political refugee, bad law and order, etc.)",0.1
Gujarat,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Studies,5.7
Gujarat,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Studies,0.2
Gujarat,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Studies,2.5
Gujarat,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Studies,0.5
Gujarat,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,To take up employment / better employment,3.4
Gujarat,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,To take up employment / better employment,0
Gujarat,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,To take up employment / better employment,7.7
Gujarat,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,To take up employment / better employment,0.4
Gujarat,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Transfer of service/ contract,2.6
Gujarat,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Transfer of service/ contract,0.1
