State,Sector,Indicator,Source of finance,Value
Jammu & Kashmir,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,13
Jammu & Kashmir,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,9.6
Jammu & Kashmir,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,75.6
Jammu & Kashmir,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,1.8
Jammu & Kashmir,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Jharkhand,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,61.7
Jharkhand,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,6.1
Jharkhand,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,32.2
Jharkhand,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0.1
Jharkhand,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Jharkhand,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,21.2
Jharkhand,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,23.6
Jharkhand,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,54.8
Jharkhand,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0.5
Jharkhand,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Jharkhand,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,55.4
Jharkhand,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,8.8
Jharkhand,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,35.7
Jharkhand,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0.1
Jharkhand,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Karnataka,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,36.4
Karnataka,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,39.2
Karnataka,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,22.3
Karnataka,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,2
Karnataka,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Karnataka,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,20.4
Karnataka,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,59.1
Karnataka,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,19.9
Karnataka,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0.5
Karnataka,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Karnataka,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,31.5
Karnataka,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,45.3
Karnataka,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,21.6
Karnataka,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,1.6
Karnataka,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Kerala,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,16
Kerala,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,48.2
Kerala,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,33.7
Kerala,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,2.1
Kerala,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Kerala,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,11.5
Kerala,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,58.3
Kerala,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,29.7
Kerala,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0.5
Kerala,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Kerala,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,13.7
Kerala,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,53.4
Kerala,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,31.6
Kerala,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,1.3
Kerala,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Ladakh,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,30.8
Ladakh,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,0
Ladakh,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,69.2
Ladakh,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0
Ladakh,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Ladakh,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,0
Ladakh,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,4.2
Ladakh,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,95.8
Ladakh,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0
Ladakh,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Ladakh,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,27.2
Ladakh,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,0.5
Ladakh,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,72.3
Ladakh,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0
Ladakh,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Lakshadweep,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,0
Lakshadweep,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,0
Lakshadweep,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,100
Lakshadweep,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0
Lakshadweep,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Lakshadweep,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,1.1
Lakshadweep,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,20
Lakshadweep,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,79
Lakshadweep,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0
Lakshadweep,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Lakshadweep,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,0.7
Lakshadweep,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,14.1
Lakshadweep,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,85.2
Lakshadweep,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0
Lakshadweep,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Madhya Pradesh,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,36.9
Madhya Pradesh,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,47
Madhya Pradesh,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,16.1
Madhya Pradesh,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0
Madhya Pradesh,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Madhya Pradesh,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,27.4
Madhya Pradesh,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,44.1
Madhya Pradesh,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,28.2
Madhya Pradesh,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0.3
Madhya Pradesh,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Madhya Pradesh,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,34.4
Madhya Pradesh,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,46.2
Madhya Pradesh,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,19.3
Madhya Pradesh,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0.1
Madhya Pradesh,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Maharashtra,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,26.1
Maharashtra,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,31.4
Maharashtra,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,40.3
Maharashtra,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,2.1
Maharashtra,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Maharashtra,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,12.3
Maharashtra,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,46.1
Maharashtra,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,39
Maharashtra,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,2.5
Maharashtra,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Maharashtra,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,21
Maharashtra,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,36.9
Maharashtra,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,39.9
Maharashtra,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,2.3
Maharashtra,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Manipur,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,5.6
Manipur,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,4.9
Manipur,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,88.9
Manipur,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0.5
Manipur,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Manipur,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,8.1
Manipur,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,7.5
Manipur,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,83.3
Manipur,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,1.1
Manipur,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Manipur,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,6.3
Manipur,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,5.6
Manipur,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,87.4
Manipur,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0.7
Manipur,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Meghalaya,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,11.2
Meghalaya,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,11.6
Meghalaya,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,77.3
Meghalaya,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0
Meghalaya,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Meghalaya,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,4.3
Meghalaya,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,27.1
Meghalaya,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,68.6
Meghalaya,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0
Meghalaya,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Meghalaya,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,10.7
Meghalaya,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,12.6
Meghalaya,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,76.7
Meghalaya,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0
Meghalaya,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Mizoram,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,30.5
Mizoram,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,17.6
Mizoram,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,51.3
Mizoram,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0.6
Mizoram,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Mizoram,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,2.4
Mizoram,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,62.2
Mizoram,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,34
Mizoram,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,1.4
Mizoram,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Mizoram,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,17.6
Mizoram,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,38.1
Mizoram,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,43.4
Mizoram,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0.9
Mizoram,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Nagaland,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,16.1
Nagaland,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,6.4
Nagaland,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,76.8
Nagaland,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0.7
Nagaland,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Nagaland,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,10.8
Nagaland,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,19.7
Nagaland,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,67.9
Nagaland,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,1.6
Nagaland,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Nagaland,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,14.9
Nagaland,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,9.4
Nagaland,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,74.8
Nagaland,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0.9
Nagaland,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Odisha,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,44.1
Odisha,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,34.2
Odisha,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,20.3
Odisha,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,1.3
Odisha,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Odisha,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,38.3
Odisha,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,23.7
Odisha,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,36.3
Odisha,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,1.7
Odisha,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Odisha,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,43.4
Odisha,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,32.8
Odisha,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,22.4
Odisha,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,1.4
Odisha,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Puducherry,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,64.9
Puducherry,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,23.2
Puducherry,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,11.9
Puducherry,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0
Puducherry,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Puducherry,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,31.7
Puducherry,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,39.2
Puducherry,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,28.6
Puducherry,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0.4
Puducherry,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Puducherry,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,42.6
Puducherry,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,33.9
Puducherry,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,23.1
Puducherry,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0.3
Puducherry,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Punjab,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,38
Punjab,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,11
Punjab,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,48.4
Punjab,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,2.7
Punjab,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Punjab,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,41.4
Punjab,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,14.2
Punjab,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,39.6
Punjab,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,4.8
Punjab,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Punjab,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,39.2
Punjab,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,12.2
Punjab,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,45.1
Punjab,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,3.5
Punjab,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Rajasthan,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,51.1
Rajasthan,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,13.8
Rajasthan,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,34.8
Rajasthan,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0.3
Rajasthan,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Rajasthan,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,30
Rajasthan,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,30.6
Rajasthan,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,39.1
Rajasthan,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0.3
Rajasthan,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Rajasthan,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,48.1
